1	13	123	28	184	269	192	3	208	11	247	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	40	60	102	23	212	201	59	270	188	92	7	48	108	149	160	61	134	266	172	112	65	55	137	97	9	25	207	78	101	231	1	0	0	0	0	0
1	74	14	17	20	51	224	10	187	148	141	256	255	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	74	14	17	20	51	224	10	187	191	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	74	14	17	69	6	31	91	66	208	11	247	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	74	14	17	220	223	233	234	21	116	40	231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	231	40	60	102	23	117	15	47	159	270	188	92	7	48	153	104	222	118	168	181	237	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	231	40	116	21	16	62	22	167	258	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	231	40	116	21	16	62	22	167	258	263	264	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	231	40	116	21	16	132	82	176	89	30	90	241	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	231	219	24	71	2	114	265	68	37	151	56	93	186	183	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	231	219	24	71	63	35	109	151	56	142	206	154	228	165	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	271	140	269	70	8	98	72	75	94	27	83	146	138	29	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	271	140	269	70	8	98	72	75	94	29	177	131	214	53	43	77	41	95	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	271	164	208	11	247	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	271	164	208	11	247	248	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	271	164	208	11	247	248	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	271	164	208	66	91	31	6	69	20	51	224	10	187	148	141	256	255	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	114	265	171	32	84	125	95	19	182	139	52	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	54	144	7	267	122	61	134	266	211	12	162	96	163	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	54	144	7	267	122	61	134	266	211	12	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	54	144	48	7	267	204	5	9	85	58	2	114	265	68	226	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	135	268	121	82	36	18	33	34	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	182	178	115	81	221	52	175	183	165	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	185	79	196	53	214	131	177	29	138	197	203	145	202	2	71	24	219	231	1	40	116	21	16	62	22	33	34	257	0	0	0	0	0	0	0	0
22	80	49	199	225	100	198	236	103	120	155	193	130	16	21	116	40	231	1	74	14	17	69	6	46	64	190	86	180	0	0	0	0	0	0	0	0
26	165	38	158	163	105	152	113	209	215	65	55	194	5	204	267	7	188	270	128	268	121	82	36	18	33	34	257	0	0	0	0	0	0	0	0	0
26	165	38	158	200	163	210	73	105	152	113	209	215	65	55	194	5	119	15	117	23	102	60	40	231	1	13	123	216	173	45	71	58	174	0	0	0
26	165	183	175	126	67	230	39	42	136	32	171	265	114	2	179	88	111	72	98	8	70	269	192	3	208	66	91	161	86	189	180	0	0	0	0	0
26	165	228	154	206	142	56	151	37	68	265	114	2	179	88	111	72	98	8	156	124	248	247	252	0	0	0	0	0	0	0	0	0	0	0	0	0
33	34	257	258	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	266	134	61	150	218	157	122	267	7	48	144	54	4	135	268	87	44	213	102	60	40	231	1	74	14	57	129	66	91	232	0	0	0	0	0	0
126	67	230	39	42	136	32	84	99	50	197	147	133	166	195	111	216	123	13	1	231	40	60	102	23	117	15	119	5	194	107	143	112	65	215	209	227
169	238	205	70	110	127	28	123	13	1	231	40	116	21	16	132	82	36	229	217	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	29	94	75	72	98	8	70	269	140	271	170	14	17	20	51	224	10	33	34	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	131	197	203	145	202	2	71	24	219	231	1	40	116	21	16	62	22	33	34	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	189	86	161	10	33	34	257	258	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227	209	215	65	55	194	5	119	15	117	23	102	60	116	21	16	62	22	33	34	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244	243	242	246	259	258	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244	245	260	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248	247	11	208	66	91	31	6	69	20	51	224	10	33	34	257	258	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
