0	11	15	43	22	41	20	31	41	32	11	10	27	26	35	49	55	22	14	10	18	11	14	26	3	7	39	7	19	73	56	18	10	16	31	20	2	4	0	17	18	16	14	7	0	0	0	0	0	0	0
12	0	11	30	16	23	19	13	18	10	8	4	24	23	30	29	36	18	12	8	15	8	6	14	8	14	16	6	7	65	30	20	10	11	23	14	1	1	2	23	17	15	18	17	0	0	0	0	0	0	0
13	4	0	32	14	21	25	21	23	14	11	9	21	22	33	41	37	19	14	10	14	11	15	23	1	3	30	6	13	53	40	22	12	12	27	13	2	3	0	11	15	12	17	11	0	0	0	0	0	0	0
24	12	11	0	11	14	32	26	27	18	16	12	32	24	30	78	68	11	12	13	16	12	24	26	12	7	37	7	10	109	73	22	20	15	27	32	4	2	2	23	17	22	18	29	0	0	0	0	0	0	0
11	3	4	9	0	10	16	11	20	12	12	8	23	18	27	13	5	8	7	11	10	8	16	20	2	2	16	8	8	54	35	12	14	7	9	13	2	1	0	9	14	12	11	32	0	0	0	0	0	0	0
12	5	5	12	9	0	20	18	15	13	11	12	31	22	30	20	22	9	10	9	11	7	23	27	8	7	23	12	12	77	57	18	18	13	16	32	2	4	1	23	30	24	24	31	1	0	0	0	0	0	0
8	2	2	8	7	6	0	14	12	12	12	10	24	20	29	17	18	10	12	6	8	10	22	23	8	4	21	7	9	73	40	16	15	9	15	25	3	1	1	11	18	18	21	31	7	7	11	1	1	0	8
7	3	3	5	5	5	14	0	11	11	13	11	23	21	31	21	28	12	9	4	5	9	16	19	3	3	17	6	5	54	37	18	11	7	9	13	2	0	1	9	18	18	13	26	11	12	14	1	0	0	7
4	3	8	11	4	2	12	11	0	14	15	23	36	26	36	13	42	11	12	8	6	12	13	15	5	2	30	10	13	89	73	25	20	16	23	27	0	4	0	17	23	26	28	70	6	9	39	2	0	0	12
8	5	7	13	7	4	15	14	6	0	6	24	37	28	39	21	52	16	19	11	12	16	9	13	8	3	16	16	16	107	46	18	27	15	21	21	3	4	2	18	18	25	17	44	8	7	26	4	1	0	11
3	1	1	8	4	2	9	10	4	3	0	11	16	16	29	19	47	9	11	4	6	9	7	11	3	7	23	19	19	73	28	33	30	25	38	39	4	4	5	25	55	44	44	107	14	11	40	0	1	1	11
5	3	4	5	6	2	12	12	7	6	2	0	12	14	24	31	55	11	12	10	11	13	10	13	2	3	26	21	19	77	37	31	31	21	31	46	4	2	2	35	46	40	51	121	28	39	53	1	2	1	12
4	2	2	7	5	1	10	11	5	3	4	1	0	7	24	30	44	8	7	9	9	11	11	9	4	0	17	18	11	73	13	4	14	11	60	23	6	3	5	139	4	12	4	43	37	4	30	0	0	0	8
12	11	12	11	5	5	10	5	7	6	11	12	8	0	28	27	16	7	11	8	7	13	21	13	34	39	30	39	18	85	40	14	37	15	65	46	4	3	2	165	14	31	11	163	22	7	22	5	4	1	14
14	9	11	9	7	7	12	6	6	8	13	11	10	6	0	39	28	8	19	4	8	11	16	12	63	76	44	63	25	98	53	19	63	19	85	69	2	1	1	129	18	24	21	133	14	4	25	2	1	0	15
13	11	8	8	11	9	7	7	12	7	7	12	12	19	30	0	16	10	13	12	13	16	21	26	36	42	28	37	18	86	56	18	39	16	50	49	11	18	9	161	102	74	88	224	117	93	301	37	39	16	21
13	11	7	11	9	7	7	12	11	4	5	11	16	22	31	12	0	12	14	21	16	22	24	26	50	58	35	50	21	91	55	18	51	18	67	58	12	18	14	195	187	125	155	315	220	182	575	36	32	12	28
11	8	11	9	7	7	12	4	6	8	15	11	13	14	24	17	31	0	7	8	11	21	16	24	1	3	16	6	13	53	40	22	12	12	27	13	1	2	16	18	38	19	17	11	12	7	16	0	1	0	8
11	8	6	11	9	7	7	9	7	7	12	11	13	23	33	21	53	18	0	10	10	14	14	24	8	7	14	8	10	77	57	18	18	13	16	32	6	6	16	25	30	14	18	29	14	18	25	0	1	8	9
7	6	12	9	8	8	12	6	7	5	12	11	13	20	30	13	30	11	7	0	6	10	24	22	12	7	12	7	10	54	45	22	20	15	27	32	10	4	14	23	30	16	13	26	11	12	30	2	2	8	9
8	4	6	7	11	9	7	11	9	7	7	12	11	21	32	22	42	14	13	7	0	9	18	22	2	2	9	8	8	53	35	12	14	7	9	13	2	1	10	32	18	18	24	31	14	29	75	5	8	7	8
7	4	11	9	7	7	11	6	6	7	13	14	10	20	34	19	42	14	11	8	8	0	13	24	2	2	10	8	8	46	35	12	16	7	9	13	4	4	11	25	25	24	21	31	15	18	36	4	5	8	8
11	8	4	4	6	11	9	7	7	8	12	6	8	20	30	19	36	15	13	18	23	12	0	21	8	7	12	9	12	77	46	12	18	14	16	23	6	4	14	27	37	28	17	44	20	18	53	7	8	11	9
13	11	12	8	7	7	12	6	6	8	13	11	10	24	36	29	57	24	12	18	26	10	9	0	8	7	23	12	14	77	55	18	18	18	25	25	8	11	24	35	44	26	44	107	30	42	85	9	9	12	14
4	4	7	5	7	2	12	13	7	12	5	3	2	20	31	24	53	22	22	18	20	21	24	37	0	0	66	32	17	102	78	28	35	16	35	32	3	8	10	37	50	35	49	123	20	31	58	11	8	5	15
5	3	5	8	5	1	10	12	8	11	5	4	5	22	33	21	44	24	11	16	24	12	25	36	7	0	9	23	12	50	12	4	13	12	55	25	11	18	20	137	0	16	0	44	37	0	36	7	2	7	11
9	5	6	13	8	10	14	13	13	11	10	11	16	26	36	33	61	23	24	12	25	24	21	32	16	21	0	11	2	26	13	2	10	0	16	9	8	11	18	127	0	12	0	68	27	9	0	12	1	8	11
11	6	5	14	6	11	13	13	13	8	8	6	16	26	32	28	44	21	12	14	21	21	25	37	53	42	23	0	6	17	82	0	30	28	112	94	10	20	25	351	0	49	28	43	17	0	49	12	8	1	16
10	7	4	12	7	9	12	11	11	10	5	8	14	21	28	30	52	11	24	25	16	12	21	32	60	236	86	0	0	201	102	36	170	53	179	212	14	25	21	368	0	140	0	242	0	102	0	7	9	4	30
7	4	7	12	5	6	14	13	11	11	11	10	25	49	47	57	105	24	12	14	11	12	24	32	113	147	25	88	21	0	192	44	35	32	167	266	11	20	16	228	61	175	348	303	187	63	702	49	42	32	40
11	6	8	13	8	11	11	14	9	12	12	11	20	25	33	30	49	16	15	26	23	21	24	29	119	0	0	45	0	98	0	0	0	0	0	103	6	14	14	0	97	0	0	238	97	0	0	2	2	4	14
12	8	5	16	6	13	14	13	13	10	7	13	22	25	33	29	45	14	12	20	11	24	23	24	20	40	51	46	18	120	8	0	37	18	76	35	4	11	16	83	51	36	26	63	68	52	0	4	7	1	15
13	9	3	11	7	9	11	11	11	9	5	15	22	27	37	37	59	21	23	21	24	24	16	37	16	32	5	6	9	26	56	18	0	14	98	44	6	8	10	32	27	9	21	50	55	0	196	16	2	4	14
11	11	6	14	8	6	11	13	9	7	11	6	23	30	35	30	45	25	11	16	25	21	11	32	17	34	11	6	0	73	22	4	24	0	12	0	3	10	11	35	0	0	0	35	44	0	0	4	7	1	9
10	10	7	10	5	8	15	11	11	8	8	8	22	28	34	30	47	23	13	12	14	12	24	28	14	9	37	28	4	235	126	21	49	65	0	39	5	9	19	149	72	25	49	74	23	12	103	21	4	4	18
9	5	8	8	8	8	8	9	13	11	10	11	18	28	37	27	47	25	10	18	21	12	12	25	10	48	46	28	21	143	132	28	100	47	23	0	8	8	16	97	61	18	49	95	25	25	22	4	2	1	18
14	11	10	7	8	2	8	3	1	1	1	7	13	19	26	13	37	8	11	10	6	8	11	13	8	9	2	2	6	40	20	9	13	9	21	14	0	4	7	88	44	16	28	52	14	12	16	5	1	0	8
11	11	12	10	8	7	8	7	3	6	7	6	10	16	25	10	30	6	5	6	8	7	10	12	5	7	3	2	5	43	18	10	16	11	19	11	5	0	5	67	38	12	24	43	12	11	30	7	4	0	8
