116	107	88	85	57	4	97	101	15	54	62	109	103	25	6	64	37	10	81	82	68	78	1	8	27
10	30	123	119	47	2	12	98	80	49	27	1	121	8	94	89	40	26	122	126	36	124	96	83	66
65	112	29	104	110	70	11	19	5	44	43	114	60	91	99	18	90	52	55	39	31	40	47	119	68
41	117	121	45	83	66	96	14	51	20	93	86	21	76	61	7	33	113	63	17	115	24	38	75	3
108	16	4	79	13	57	85	111	88	107	15	54	67	50	125	71	73	10	6	25	87	11	70	110	44
122	126	23	42	31	34	32	52	55	48	39	53	123	82	2	28	68	78	1	8	66	121	102	117	41
11	118	19	105	59	37	10	64	6	81	71	125	50	3	98	49	27	12	68	78	2	47	40	39	34
23	9	58	22	36	92	83	66	117	96	45	41	93	21	33	127	74	7	61	113	17	56	100	49	27
127	49	100	74	7	113	46	56	61	33	21	51	84	77	93	41	117	121	102	66	8	27	94	45	96
87	11	110	5	19	118	25	103	107	109	116	62	88	85	69	57	13	108	4	97	101	72	79	115	24
59	64	106	105	43	44	5	104	70	11	87	25	37	10	73	75	24	50	3	115	79	72	101	15	54
120	23	36	22	58	31	55	48	32	52	53	119	28	123	95	30	6	37	64	59	105	106	44	29	99
85	111	69	35	57	16	108	13	101	72	97	79	115	17	63	113	33	76	21	20	14	93	41	96	66
96	117	51	20	77	86	76	21	33	113	56	46	7	61	74	49	27	41	83	66	102	89	122	92	26
92	126	36	22	42	58	23	31	34	39	53	52	90	32	40	26	122	89	102	94	66	45	117	51	20
22	42	26	31	23	120	9	36	124	96	41	51	21	76	86	20	33	46	113	63	17	115	3	75	67
109	116	62	103	107	15	101	79	13	108	16	4	69	57	85	88	25	118	87	11	19	70	5	44	110
20	86	21	93	41	8	12	68	119	53	90	43	91	44	104	5	11	110	87	25	37	10	82	123	30
35	69	111	85	57	16	13	79	97	101	15	67	81	64	10	125	73	75	38	3	80	12	1	78	2
52	90	60	91	44	29	112	70	11	87	19	118	25	88	107	103	62	54	15	67	125	10	82	95	30
113	63	17	115	3	49	98	12	78	2	68	82	28	123	53	119	47	40	39	52	32	48	55	31	23
