32	25	7	55	23	4	10	24	34	83	27	30	44	31	45	93	68	101	92	63	13	54
53	101	94	36	3	84	35	19	93	65	74	110	12	97	43	58	8	38	41	11	26	71
84	106	28	18	66	62	1	98	59	75	42	13	64	56	102	95	82	7	4	94	99	68
51	76	18	96	60	33	22	69	14	29	87	82	95	84	35	4	86	20	83	45	49	80
67	86	82	87	47	52	32	72	103	15	77	34	100	83	27	45	93	10	4	55	35	84
56	39	46	54	13	9	91	50	8	38	105	71	42	61	59	75	17	48	63	92	101	53
57	40	88	2	98	59	61	48	75	17	42	104	13	54	64	56	81	1	79	18	33	22
15	77	100	70	44	31	30	27	73	109	5	78	108	37	6	43	12	107	58	38	41	26
65	74	110	90	43	6	108	109	73	80	12	107	58	41	26	71	105	38	8	50	9	64
20	4	82	106	84	95	102	56	64	54	91	92	53	11	58	8	50	36	16	35	55	7
97	65	37	49	45	27	83	34	20	25	87	72	89	103	52	32	77	15	100	70	31	44
33	18	96	79	40	56	64	9	13	61	17	75	42	104	48	63	91	92	53	8	26	41
41	38	26	71	85	105	11	58	8	50	36	9	64	39	81	98	59	75	17	104	63	54
7	55	4	99	19	68	94	36	35	16	84	106	28	22	33	21	69	18	57	1	88	81
69	21	18	28	95	84	3	36	94	19	101	92	53	50	9	54	39	13	75	17	104	63
61	42	104	48	13	17	71	8	85	105	41	26	11	38	58	107	90	65	80	74	97	43
38	8	53	11	71	17	42	104	63	48	75	59	98	2	88	46	39	54	13	9	64	81
77	15	32	24	10	4	55	86	67	35	16	19	93	45	44	27	73	80	37	6	109	108
64	13	17	42	71	8	58	107	74	43	12	6	108	5	109	80	65	90	53	11	26	105
82	4	19	94	36	50	9	13	104	8	71	26	105	11	41	38	58	107	12	80	109	5
35	16	55	7	87	82	95	86	20	83	27	30	31	45	93	68	99	19	4	10	24	34
107	74	43	90	110	65	93	19	67	4	7	86	95	106	28	18	76	51	69	14	29	87
43	90	97	12	110	74	107	58	38	11	53	50	91	9	63	54	46	88	57	62	2	1
14	51	18	57	62	1	66	40	56	88	39	46	64	13	9	36	35	19	93	65	90	53
15	77	34	24	10	4	7	25	87	47	22	33	69	96	51	76	18	57	1	79	66	40
19	99	68	4	20	103	52	89	32	25	23	86	95	28	60	33	69	76	51	18	66	79
59	61	42	48	75	39	56	102	28	22	29	87	25	86	82	7	95	106	84	4	20	103
51	33	28	95	106	82	86	7	67	35	55	4	16	84	36	50	53	90	74	107	58	41
60	33	18	66	79	96	51	21	69	14	22	28	95	7	82	87	72	103	89	52	32	23
10	67	86	23	25	55	16	19	4	68	99	94	101	53	92	50	9	64	3	84	35	36
16	55	67	10	20	83	27	45	31	44	70	15	77	32	25	103	52	89	72	87	7	95
106	82	4	86	25	7	87	29	60	28	18	40	57	88	1	81	56	64	39	13	54	63
26	41	8	105	11	71	85	38	58	43	97	65	93	73	37	49	109	108	5	78	6	12
75	39	54	64	9	13	63	92	36	3	16	55	7	95	86	20	25	103	15	77	34	24
51	33	14	22	60	96	28	18	79	66	1	98	59	81	56	102	95	7	87	72	52	103
15	34	20	83	45	73	93	68	99	94	35	19	67	16	55	25	103	52	87	22	29	14
83	20	86	95	28	96	51	14	22	87	82	106	84	4	10	93	65	110	12	6	78	5
47	52	87	29	60	96	79	66	62	2	57	18	76	69	51	33	14	22	28	102	56	81
3	64	81	39	13	54	46	56	102	28	95	84	35	36	16	4	82	7	86	25	32	34
37	109	6	78	108	49	80	73	45	93	10	19	67	23	4	68	94	35	36	3	16	55
38	11	58	43	90	12	80	109	5	78	6	37	65	93	68	94	99	4	23	67	10	24
104	8	71	11	26	38	85	105	41	58	107	90	74	97	65	93	73	27	83	45	44	31
53	92	9	54	39	46	3	35	4	19	99	68	93	73	44	45	31	30	27	83	20	34
46	54	64	3	95	102	56	40	66	51	69	14	22	87	29	47	52	89	72	32	24	83
100	77	103	15	34	20	25	86	95	82	4	68	93	10	67	35	16	55	23	32	89	52
41	26	105	38	11	71	17	75	42	104	13	61	59	98	1	81	39	54	63	92	101	19
84	4	19	99	94	67	55	23	32	34	100	77	103	15	70	31	44	30	27	73	49	45
70	31	45	73	37	65	74	90	53	50	36	35	19	94	101	68	4	20	34	100	77	15
19	4	10	24	20	83	27	73	80	49	37	109	5	108	78	6	12	74	97	43	58	41
19	67	23	25	86	4	35	36	92	50	9	91	63	48	42	104	71	26	41	38	58	43
41	11	105	71	8	50	9	63	48	13	104	17	61	59	81	88	56	102	95	84	35	94
61	13	75	39	54	91	9	64	81	59	48	17	104	42	105	38	26	85	8	50	92	63
12	110	90	65	80	49	37	6	78	5	108	109	73	45	27	30	31	70	15	100	77	34
94	36	16	4	82	87	72	89	32	15	100	70	77	103	52	47	22	69	76	21	18	96
101	68	4	7	25	55	35	16	19	10	67	23	32	24	34	103	89	72	52	87	47	22
52	87	72	103	15	77	34	20	25	86	82	95	102	56	40	66	62	2	1	88	81	59
